LEXEME_NAME          TOKEN_ID            
int                  282
main                 256
(                    40
)                    41
{                    123
int                  282
a                    256
=                    61
10                   276
,                    44
b                    256
=                    61
10                   276
;                    59
int                  282
c                    256
=                    61
a                    256
+                    43
b                    256
;                    59
int                  282
d                    256
=                    61
c                    256
*                    42
b                    256
;                    59
int                  282
qd                   256
=                    61
1e9                  278
;                    59
float                281
fd                   256
=                    61
23.45                277
;                    59
float                281
fed                  256
=                    61
23.45e10             278
;                    59
printf               256
(                    40
"Thesumis%d\n"       275
,                    44
c                    256
)                    41
;                    59
printf               256
(                    40
"%s\n"               275
,                    44
HELLO                256
)                    41
;                    59
return               306
0                    276
;                    59
}                    125
LEXICAL ANALYSIS COMPLETED .....
